Age,Age_Group,Gender,Income,Total_Purchases,Total_Amount,High_Spender
21,19-30,Male,Low,3,324.08627,N
19,19-30,Female,Low,2,806.7078147,N
48,41-50,Male,Low,3,1063.432799,N
56,51-60,Male,High,7,2466.854021,Y
22,19-30,Male,Low,2,248.5530491,N
58,51-60,Female,Medium,4,1185.167224,N
29,19-30,Female,Low,2,630.1152951,N
29,19-30,Male,Medium,1,46.58807038,N
46,41-50,Male,Medium,8,2630.714413,Y
25,19-30,Male,Medium,10,3976.112295,Y
64,61+,Female,Low,4,363.927479,N
31,31-40,Female,Medium,1,364.8305669,N
56,51-60,Female,Medium,10,1618.79361,Y
53,51-60,Female,Medium,9,3157.353142,Y
32,31-40,Female,High,6,1786.356235,Y
43,41-50,Male,Medium,3,71.17170367,N
69,61+,Male,Low,10,147.2716425,N
19,19-30,Female,High,3,419.3605651,N
49,41-50,Male,Low,1,210.1379188,N
69,61+,Male,Low,2,939.3192783,N
46,41-50,Male,Low,6,2525.250179,Y
61,61+,Male,High,4,801.1485128,N
21,19-30,Female,Low,6,204.7455979,N
41,41-50,Female,Low,8,3492.863273,Y
38,31-40,Male,Medium,2,570.5966593,N
59,51-60,Male,High,6,451.25961,N
20,19-30,Male,High,1,173.5707379,N
67,61+,Male,Low,5,2357.41066,Y
43,41-50,Male,Medium,8,2670.877311,Y
50,51-60,Male,Medium,6,1441.369132,Y
26,19-30,Female,Low,3,479.4125799,N
56,51-60,Female,Low,2,294.1964683,N
66,61+,Male,Medium,7,2412.754296,Y
31,31-40,Male,Low,4,974.5611052,N
24,19-30,Female,Low,2,667.4088663,N
54,51-60,Male,Low,3,966.4431427,N
19,19-30,Male,High,5,977.7570148,N
28,19-30,Male,High,9,1452.486008,Y
34,31-40,Female,High,7,310.3112902,N
65,61+,Male,Low,8,230.6040847,N
40,41-50,Male,High,10,205.2853677,N
64,61+,Female,High,3,682.2766465,N
68,61+,Female,High,6,2004.99419,Y
46,41-50,Male,High,2,282.4287309,N
58,51-60,Female,High,3,938.929718,N
36,31-40,Male,Low,1,399.7871224,N
57,51-60,Male,High,7,2209.40207,Y
27,19-30,Female,Medium,8,744.0337507,N
35,31-40,Female,Medium,7,2427.037148,Y
57,51-60,Female,Medium,6,639.040452,N
36,31-40,Male,Low,2,461.7517047,N
69,61+,Male,High,3,1183.818797,N
59,51-60,Male,High,2,563.2003387,N
38,31-40,Female,High,4,1215.159458,N
46,41-50,Male,Low,4,519.0278895,N
24,19-30,Male,Medium,4,1030.34789,N
67,61+,Male,Medium,10,3875.534458,Y
54,51-60,Female,High,10,979.9678856,N
68,61+,Male,Medium,9,2626.931459,Y
29,19-30,Male,Medium,9,4273.442474,Y
26,19-30,Male,Low,9,837.5593545,N
41,41-50,Female,Low,6,427.1493047,N
31,31-40,Female,Low,3,255.4707974,N
34,31-40,Female,High,9,2758.911589,Y
29,19-30,Female,Low,2,810.8974316,N
69,61+,Male,Low,4,748.3704105,N
58,51-60,Male,Medium,10,3134.881143,Y
38,31-40,Male,Medium,4,594.8538835,N
25,19-30,Female,Medium,4,980.7469337,N
26,19-30,Female,Medium,10,592.618184,N
57,51-60,Female,High,7,979.1690474,N
70,61+,Male,Low,8,3493.995,Y
61,61+,Female,Medium,4,807.8149392,N
37,31-40,Female,Low,9,1823.48371,Y
34,31-40,Female,Medium,7,2841.930781,Y
19,19-30,Female,Medium,1,249.6148342,N
43,41-50,Female,Low,3,1241.287533,N
30,31-40,Male,Medium,4,1249.712226,N
35,31-40,Male,Low,6,224.4327277,N
54,51-60,Female,Low,3,838.7450619,N
39,31-40,Male,High,8,412.1301413,N
56,51-60,Male,High,8,2916.113675,Y
25,19-30,Female,Low,6,437.1700958,N
47,41-50,Male,Low,6,958.3175796,N
41,41-50,Male,Low,6,2534.323563,Y
29,19-30,Male,Medium,10,1478.845358,Y
61,61+,Male,Low,10,550.574653,N
